customer_id,Recency,Frequency,Monetary,R,F,M,RFM_Score,Segment
AB-102552,256,9,949,2,2,2,222,Potential
AB-102553,5,15,4644,4,4,4,444,Champions
AB-102554,166,14,914,2,3,2,232,Potential
AB-1051,402,2,97,1,1,1,111,At Risk
AB-1052,230,2,64,2,1,1,211,Potential
AB-1053,43,11,1996,3,3,3,333,Potential
AB-106001,240,15,7148,2,4,4,244,Loyal Customers
AB-106002,337,9,4276,1,2,4,124,At Risk
AB-106003,84,6,377,3,1,1,311,Potential
AB-106004,50,8,1515,3,2,2,322,Potential
AB-1501,398,8,3145,1,2,3,123,At Risk
AB-151,412,6,2125,1,1,3,113,At Risk
AB-152,503,6,2481,1,1,3,113,At Risk
AB-1651,30,2,160,4,1,1,411,Potential
AB-1652,709,1,411,1,1,1,111,At Risk
AB-1653,16,5,828,4,1,2,412,Potential
AB-2551,174,11,4083,2,3,4,234,Potential
AB-2552,43,2,283,3,1,1,311,Potential
AB-2553,120,2,313,2,1,1,211,Potential
AB-6001,7,21,1384,4,4,2,442,Loyal Customers
AB-6002,875,5,4027,1,1,4,114,At Risk
AB-601,35,5,1483,4,1,2,412,Potential
AB-602,133,6,287,2,1,1,211,Potential
AC-104201,219,12,4086,2,3,4,234,Potential
AC-104202,462,8,1033,1,2,2,122,At Risk
AC-104203,6,15,4561,4,4,4,444,Champions
AC-104204,232,5,926,2,1,2,212,Potential
AC-104501,8,8,7610,4,2,4,424,Potential
AC-104502,5,6,2295,4,1,3,413,Potential
AC-104503,196,6,694,2,1,1,211,Potential
AC-104504,11,9,5529,4,2,4,424,Potential
AC-106151,12,24,5753,4,4,4,444,Champions
AC-106152,40,11,2738,4,3,3,433,Potential
AC-106153,36,12,1699,4,3,2,432,Potential
AC-106154,6,18,2538,4,4,3,443,Loyal Customers
AC-106601,63,5,1175,3,1,2,312,Potential
AC-106602,151,9,2234,2,2,3,223,Potential
AC-106603,2,15,2189,4,4,3,443,Loyal Customers
AC-106604,282,6,658,1,1,1,111,At Risk
AC-4201,13,15,841,4,4,2,442,Loyal Customers
AC-4202,386,6,849,1,1,2,112,At Risk
AC-4501,336,4,670,1,1,1,111,At Risk
AC-4502,919,2,147,1,1,1,111,At Risk
AC-4503,181,4,210,2,1,1,211,Potential
AC-6151,509,7,1706,1,2,2,122,At Risk
AC-6152,92,11,593,3,3,1,331,Potential
AC-6601,119,7,2666,2,2,3,223,Potential
AC-6602,412,1,10,1,1,1,111,At Risk
AD-101801,92,19,9209,3,4,4,344,Loyal Customers
AD-101802,376,6,1001,1,1,2,112,At Risk
AD-101803,331,10,1541,1,2,2,122,At Risk
AD-101804,29,12,6106,4,3,4,434,Potential
AD-1801,196,1,12,2,1,1,211,Potential
AD-1802,5,7,669,4,2,1,421,Potential
AF-108701,6,36,10793,4,4,4,444,Champions
AF-108702,105,9,7808,3,2,4,324,Potential
AF-108703,426,20,5832,1,4,4,144,Loyal Customers
AF-108704,41,16,2052,4,4,3,443,Loyal Customers
AF-108851,76,22,8347,3,4,4,344,Loyal Customers
AF-108852,162,26,5880,2,4,4,244,Loyal Customers
AF-108853,53,15,4621,3,4,4,344,Loyal Customers
AF-108854,415,7,862,1,2,2,122,At Risk
AF-8701,12,9,672,4,2,1,421,Potential
AF-8702,765,2,125,1,1,1,111,At Risk
AF-8703,5,6,901,4,1,2,412,Potential
AF-8851,203,2,139,2,1,1,211,Potential
AF-8852,167,4,215,2,1,1,211,Potential
AG-102701,65,19,4771,3,4,4,344,Loyal Customers
AG-102702,196,6,1663,2,1,2,212,Potential
AG-102703,40,12,1622,4,3,2,432,Potential
AG-102704,278,14,2584,1,3,3,133,At Risk
AG-103001,27,9,3212,4,2,3,423,Potential
AG-103002,72,14,6071,3,3,4,334,Potential
AG-103003,2,13,3364,4,3,3,433,Potential
AG-103004,118,5,367,2,1,1,211,Potential
AG-103301,172,14,4208,2,3,4,234,Potential
AG-103302,149,20,3590,2,4,3,243,Loyal Customers
AG-103303,182,24,6078,2,4,4,244,Loyal Customers
AG-103304,8,9,662,4,2,1,421,Potential
AG-103901,240,7,2228,2,2,3,223,Potential
AG-103902,413,9,2646,1,2,3,123,At Risk
AG-103903,189,19,3380,2,4,3,243,Loyal Customers
AG-103904,114,8,201,2,2,1,221,Potential
AG-104951,167,10,3451,2,2,3,223,Potential
AG-104952,128,26,7461,2,4,4,244,Loyal Customers
AG-104953,200,5,2110,2,1,3,213,Potential
AG-104954,78,21,2356,3,4,3,343,Loyal Customers
AG-105251,134,3,324,2,1,1,211,Potential
AG-105252,37,12,4071,4,3,4,434,Potential
AG-105253,12,7,2620,4,2,3,423,Potential
AG-105254,845,9,1455,1,2,2,122,At Risk
AG-106751,769,13,3644,1,3,3,133,At Risk
AG-106752,47,12,2284,3,3,3,333,Potential
AG-106753,400,12,3606,1,3,3,133,At Risk
AG-106754,97,15,3489,3,4,3,343,Loyal Customers
AG-107651,376,5,1586,1,1,2,112,At Risk
AG-107652,92,10,2159,3,2,3,323,Potential
AG-107653,28,24,5913,4,4,4,444,Champions
AG-107654,77,5,170,3,1,1,311,Potential
AG-109001,117,23,5035,2,4,4,244,Loyal Customers
AG-109002,372,12,3108,1,3,3,133,At Risk
AG-109003,57,9,5519,3,2,4,324,Potential
AG-109004,96,21,4511,3,4,4,344,Loyal Customers
AG-2701,163,9,1997,2,2,3,223,Potential
AG-2702,519,3,296,1,1,1,111,At Risk
AG-2703,13,4,486,4,1,1,411,Potential
AG-3001,145,5,866,2,1,2,212,Potential
AG-3002,98,12,835,3,3,2,332,Potential
AG-3301,2,9,513,4,2,1,421,Potential
AG-3302,14,1,20,4,1,1,411,Potential
AG-3901,1120,7,414,1,2,1,121,At Risk
AG-3902,112,3,59,2,1,1,211,Potential
AG-4951,205,4,469,2,1,1,211,Potential
AG-4952,48,2,52,3,1,1,311,Potential
AG-4953,69,10,482,3,2,1,321,Potential
AG-5251,15,11,802,4,3,2,432,Potential
AG-5252,728,2,2067,1,1,3,113,At Risk
AG-6751,173,18,774,2,4,2,242,Loyal Customers
AG-6752,270,7,1595,1,2,2,122,At Risk
AG-7651,579,7,769,1,2,2,122,At Risk
AG-7652,114,7,1090,2,2,2,222,Potential
AG-9001,23,10,1698,4,2,2,422,Potential
AH-100301,410,10,4154,1,2,4,124,At Risk
AH-100302,28,10,3973,4,2,4,424,Potential
AH-100303,158,13,4568,2,3,4,234,Potential
AH-100304,12,11,1744,4,3,2,432,Potential
AH-100751,2,17,7291,4,4,4,444,Champions
AH-100752,30,20,4526,4,4,4,444,Champions
AH-100753,230,7,3044,2,2,3,223,Potential
AH-100754,34,20,3251,4,4,3,443,Loyal Customers
AH-101201,471,3,558,1,1,1,111,At Risk
AH-101202,113,13,3590,2,3,3,233,Potential
AH-101203,306,14,4044,1,3,4,134,At Risk
AH-101204,60,16,1736,3,4,2,342,Loyal Customers
AH-101951,49,17,3839,3,4,4,344,Loyal Customers
AH-101952,92,17,1833,3,4,2,342,Loyal Customers
AH-101953,51,18,5370,3,4,4,344,Loyal Customers
AH-101954,55,8,1588,3,2,2,322,Potential
AH-102101,470,3,1111,1,1,2,112,At Risk
AH-102102,102,26,7417,3,4,4,344,Loyal Customers
AH-102103,7,24,7031,4,4,4,444,Champions
AH-102104,6,13,4805,4,3,4,434,Potential
AH-104651,86,9,2183,3,2,3,323,Potential
AH-104652,480,2,251,1,1,1,111,At Risk
AH-104653,70,13,3621,3,3,3,333,Potential
AH-104654,230,8,2495,2,2,3,223,Potential
AH-105851,187,17,6205,2,4,4,244,Loyal Customers
AH-105852,183,6,1615,2,1,2,212,Potential
AH-105853,398,4,567,1,1,1,111,At Risk
AH-105854,21,5,738,4,1,2,412,Potential
AH-106901,145,16,4163,2,4,4,244,Loyal Customers
AH-106902,30,20,3514,4,4,3,443,Loyal Customers
AH-106903,379,7,710,1,2,1,121,At Risk
AH-106904,410,23,7889,1,4,4,144,Loyal Customers
AH-1201,599,7,1476,1,2,2,122,At Risk
AH-1202,21,1,2,4,1,1,411,Potential
AH-1951,1051,3,80,1,1,1,111,At Risk
AH-1952,1240,1,88,1,1,1,111,At Risk
AH-1953,278,13,2483,1,3,3,133,At Risk
AH-2101,880,5,3090,1,1,3,113,At Risk
AH-2102,457,3,187,1,1,1,111,At Risk
AH-301,468,8,5072,1,2,4,124,At Risk
AH-302,576,4,1248,1,1,2,112,At Risk
AH-4651,241,5,540,2,1,1,211,Potential
AH-4652,798,2,112,1,1,1,111,At Risk
AH-5851,218,3,889,2,1,2,212,Potential
AH-5852,75,14,1343,3,3,2,332,Potential
AH-6901,58,7,948,3,2,2,322,Potential
AH-6902,600,3,869,1,1,2,112,At Risk
AH-751,37,17,3426,4,4,3,443,Loyal Customers
AH-752,268,1,137,2,1,1,211,Potential
AH-753,566,2,45,1,1,1,111,At Risk
AI-108551,308,7,1859,1,2,2,122,At Risk
AI-108552,85,13,2105,3,3,3,333,Potential
AI-108553,208,2,20,2,1,1,211,Potential
AI-108554,13,18,4376,4,4,4,444,Champions
AI-8551,560,1,30,1,1,1,111,At Risk
AI-8552,203,9,891,2,2,2,222,Potential
AJ-107801,124,6,5821,2,1,4,214,Potential
AJ-107802,48,18,3898,3,4,4,344,Loyal Customers
AJ-107803,61,13,601,3,3,1,331,Potential
AJ-107804,75,15,4868,3,4,4,344,Loyal Customers
AJ-107951,62,9,1209,3,2,2,322,Potential
AJ-107952,153,12,2249,2,3,3,233,Potential
AJ-107953,189,9,930,2,2,2,222,Potential
AJ-107954,166,21,4501,2,4,4,244,Loyal Customers
AJ-109451,91,13,2329,3,3,3,333,Potential
AJ-109452,415,9,3402,1,2,3,123,At Risk
AJ-109453,28,9,3517,4,2,3,423,Potential
AJ-109454,85,10,1839,3,2,2,322,Potential
AJ-109601,48,6,1709,3,1,2,312,Potential
AJ-109602,207,16,4502,2,4,4,244,Loyal Customers
AJ-109603,51,11,1792,3,3,2,332,Potential
AJ-109604,74,5,629,3,1,1,311,Potential
AJ-7801,211,21,1608,2,4,2,242,Loyal Customers
AJ-7802,573,1,19,1,1,1,111,At Risk
AJ-7803,1,5,942,4,1,2,412,Potential
AJ-7951,36,11,1276,4,3,2,432,Potential
AJ-7952,121,15,2119,2,4,3,243,Loyal Customers
AJ-9451,104,12,3817,3,3,4,334,Potential
AJ-9452,340,3,1045,1,1,2,112,At Risk
AJ-9601,411,14,4071,1,3,4,134,At Risk
AJ-9602,294,8,556,1,2,1,121,At Risk
AM-103601,15,13,3217,4,3,3,433,Potential
AM-103602,21,21,8940,4,4,4,444,Champions
AM-103603,96,19,3759,3,4,3,343,Loyal Customers
AM-103604,28,12,813,4,3,2,432,Potential
AM-107051,322,24,11719,1,4,4,144,Loyal Customers
AM-107052,25,17,6094,4,4,4,444,Champions
AM-107053,138,8,742,2,2,2,222,Potential
AM-107054,162,22,5665,2,4,4,244,Loyal Customers
AM-3601,190,7,435,2,2,1,221,Potential
AM-3602,175,5,1601,2,1,2,212,Potential
AM-7051,136,5,867,2,1,2,212,Potential
AM-7052,377,1,24,1,1,1,111,At Risk
AM-7053,891,2,411,1,1,1,111,At Risk
AO-108101,36,22,7085,4,4,4,444,Champions
AO-108102,188,23,5657,2,4,4,244,Loyal Customers
AO-108103,121,7,1636,2,2,2,222,Potential
AO-108104,501,1,161,1,1,1,111,At Risk
AO-8101,7,2,24,4,1,1,411,Potential
AO-8102,341,2,386,1,1,1,111,At Risk
AO-8103,125,3,76,2,1,1,211,Potential
AP-107201,44,23,9040,3,4,4,344,Loyal Customers
AP-107202,46,2,1763,3,1,2,312,Potential
AP-107203,179,8,2919,2,2,3,223,Potential
AP-107204,41,19,1639,4,4,2,442,Loyal Customers
AP-109151,76,21,9049,3,4,4,344,Loyal Customers
AP-109152,131,7,1435,2,2,2,222,Potential
AP-109153,317,10,2070,1,2,3,123,At Risk
AP-109154,98,31,3324,3,4,3,343,Loyal Customers
AP-7201,37,8,423,4,2,1,421,Potential
AP-7202,127,3,576,2,1,1,211,Potential
AP-9151,463,14,2151,1,3,3,133,At Risk
AP-9152,92,4,517,3,1,1,311,Potential
AR-103451,102,21,4462,3,4,4,344,Loyal Customers
AR-103452,29,16,7043,4,4,4,444,Champions
AR-103453,315,6,1607,1,1,2,112,At Risk
AR-103454,111,5,1056,2,1,2,212,Potential
AR-104051,54,7,2010,3,2,3,323,Potential
AR-104052,111,20,3532,2,4,3,243,Loyal Customers
AR-104053,144,9,1182,2,2,2,222,Potential
AR-104054,125,7,2235,2,2,3,223,Potential
AR-105101,237,21,6269,2,4,4,244,Loyal Customers
AR-105102,62,18,6533,3,4,4,344,Loyal Customers
AR-105103,76,9,1210,3,2,2,322,Potential
AR-105104,14,7,264,4,2,1,421,Potential
AR-105401,648,7,1154,1,2,2,122,At Risk
AR-105402,121,2,64,2,1,1,211,Potential
AR-105403,415,4,157,1,1,1,111,At Risk
AR-105404,6,9,6609,4,2,4,424,Potential
AR-105701,2,15,4880,4,4,4,444,Champions
AR-105702,104,5,1898,3,1,3,313,Potential
AR-105703,2,11,2581,4,3,3,433,Potential
AR-105704,534,2,88,1,1,1,111,At Risk
AR-108251,378,6,633,1,1,1,111,At Risk
AR-108252,79,25,7720,3,4,4,344,Loyal Customers
AR-108253,22,15,2435,4,4,3,443,Loyal Customers
AR-108254,58,13,4523,3,3,4,334,Potential
AR-3451,695,6,1243,1,1,2,112,At Risk
AR-3452,141,10,1058,2,2,2,222,Potential
AR-4051,376,2,144,1,1,1,111,At Risk
AR-4052,222,5,426,2,1,1,211,Potential
AR-5101,240,2,371,2,1,1,211,Potential
AR-5102,104,13,2267,3,3,3,333,Potential
AR-5401,221,7,325,2,2,1,221,Potential
AR-5402,397,6,236,1,1,1,111,At Risk
AR-5701,294,8,970,1,2,2,122,At Risk
AR-5702,70,9,1075,3,2,2,322,Potential
AR-8251,33,6,1704,4,1,2,412,Potential
AR-8252,74,7,324,3,2,1,321,Potential
AS-100451,76,5,2056,3,1,3,313,Potential
AS-100452,23,25,6708,4,4,4,444,Champions
AS-100453,219,7,779,2,2,2,222,Potential
AS-100454,88,10,3051,3,2,3,323,Potential
AS-100901,53,8,1502,3,2,2,322,Potential
AS-100902,15,15,4140,4,4,4,444,Champions
AS-100903,191,16,6112,2,4,4,244,Loyal Customers
AS-100904,28,25,3255,4,4,3,443,Loyal Customers
AS-101351,116,24,4430,2,4,4,244,Loyal Customers
AS-101352,627,5,2474,1,1,3,113,At Risk
AS-101353,235,3,346,2,1,1,211,Potential
AS-101354,41,3,58,4,1,1,411,Potential
AS-102251,71,20,9773,3,4,4,344,Loyal Customers
AS-102252,12,15,6300,4,4,4,444,Champions
AS-102253,105,14,1031,3,3,2,332,Potential
AS-102254,22,13,4262,4,3,4,434,Potential
AS-102401,21,11,2374,4,3,3,433,Potential
AS-102402,43,20,3688,3,4,3,343,Loyal Customers
AS-102403,12,13,2358,4,3,3,433,Potential
AS-102404,192,13,586,2,3,1,231,Potential
AS-102851,138,18,6388,2,4,4,244,Loyal Customers
AS-102852,19,13,4997,4,3,4,434,Potential
AS-102853,18,14,1584,4,3,2,432,Potential
AS-102854,19,8,3215,4,2,3,423,Potential
AS-106301,380,11,7447,1,3,4,134,At Risk
AS-106302,35,7,1455,4,2,2,422,Potential
AS-106303,628,1,80,1,1,1,111,At Risk
AS-106304,92,12,835,3,3,2,332,Potential
AS-1351,966,1,187,1,1,1,111,At Risk
AS-1352,92,8,3792,3,2,4,324,Potential
AS-2251,2,7,254,4,2,1,421,Potential
AS-2252,384,1,28,1,1,1,111,At Risk
AS-2253,670,3,189,1,1,1,111,At Risk
AS-2401,1197,1,5,1,1,1,111,At Risk
AS-2402,498,5,1681,1,1,2,112,At Risk
AS-2851,222,17,2059,2,4,3,243,Loyal Customers
AS-2852,99,7,2881,3,2,3,323,Potential
AS-451,776,7,1234,1,2,2,122,At Risk
AS-452,233,6,379,2,1,1,211,Potential
AS-6301,560,20,1908,1,4,3,143,Loyal Customers
AS-6302,33,4,93,4,1,1,411,Potential
AS-901,21,7,436,4,2,1,421,Potential
AT-104351,126,12,2779,2,3,3,233,Potential
AT-104352,12,5,6342,4,1,4,414,Potential
AT-104353,16,14,3364,4,3,3,433,Potential
AT-104354,21,9,1172,4,2,2,422,Potential
AT-107351,77,8,2586,3,2,3,323,Potential
AT-107352,2,15,4359,4,4,4,444,Champions
AT-107353,36,10,2206,4,2,3,423,Potential
AT-107354,13,16,3831,4,4,4,444,Champions
AT-4351,212,6,540,2,1,1,211,Potential
AT-4352,28,19,748,4,4,2,442,Loyal Customers
AT-7351,1056,1,10,1,1,1,111,At Risk
AT-7352,69,5,393,3,1,1,311,Potential
AW-108401,118,16,4229,2,4,4,244,Loyal Customers
AW-108402,16,18,4839,4,4,4,444,Champions
AW-108403,427,18,3480,1,4,3,143,Loyal Customers
AW-108404,20,8,649,4,2,1,421,Potential
AW-109301,58,8,1601,3,2,2,322,Potential
AW-109302,35,7,4066,4,2,4,424,Potential
AW-109303,55,8,1713,3,2,2,322,Potential
AW-109304,46,16,2853,3,4,3,343,Loyal Customers
AW-8401,56,18,1946,3,4,3,343,Loyal Customers
AW-9301,170,7,413,2,2,1,221,Potential
AW-9302,37,3,370,4,1,1,411,Potential
AY-105551,210,7,802,2,2,2,222,Potential
AY-105552,149,5,3023,2,1,3,213,Potential
AY-105553,639,8,1125,1,2,2,122,At Risk
AY-105554,14,10,496,4,2,1,421,Potential
AY-5551,248,8,660,2,2,1,221,Potential
AY-5552,35,12,2436,4,3,3,433,Potential
AZ-107501,70,4,742,3,1,2,312,Potential
AZ-107502,111,6,1287,2,1,2,212,Potential
AZ-107503,226,20,5989,2,4,4,244,Loyal Customers
AZ-107504,160,12,1624,2,3,2,232,Potential
AZ-7501,26,13,1461,4,3,2,432,Potential
AZ-7502,815,1,96,1,1,1,111,At Risk
AZ-7503,148,12,672,2,3,1,231,Potential
BB-109901,96,22,4719,3,4,4,344,Loyal Customers
BB-109902,14,10,1808,4,2,2,422,Potential
BB-109903,51,14,1790,3,3,2,332,Potential
BB-109904,105,8,744,3,2,2,322,Potential
BB-115451,43,7,1286,3,2,2,322,Potential
BB-115452,33,20,6600,4,4,4,444,Champions
BB-115453,40,10,1146,4,2,2,422,Potential
BB-115454,28,20,6767,4,4,4,444,Champions
BB-15451,156,4,131,2,1,1,211,Potential
BB-15452,49,2,77,3,1,1,311,Potential
BB-9901,50,4,507,3,1,1,311,Potential
BB-9902,78,4,315,3,1,1,311,Potential
BC-111251,968,6,2829,1,1,3,113,At Risk
BC-111252,41,37,6941,4,4,4,444,Champions
BC-111253,33,12,2086,4,3,3,433,Potential
BC-111254,202,18,2934,2,4,3,243,Loyal Customers
BC-11251,29,4,85,4,1,1,411,Potential
BC-11252,131,10,311,2,2,1,221,Potential
BD-113201,111,8,2828,2,2,3,223,Potential
BD-113202,205,16,3189,2,4,3,243,Loyal Customers
BD-113203,5,9,1652,4,2,2,422,Potential
BD-113204,33,19,5721,4,4,4,444,Champions
BD-115001,88,6,3761,3,1,3,313,Potential
BD-115002,19,10,2534,4,2,3,423,Potential
BD-115003,125,15,2385,2,4,3,243,Loyal Customers
BD-115004,35,10,4410,4,2,4,424,Potential
BD-115601,44,7,1066,3,2,2,322,Potential
BD-115602,75,10,5213,3,2,4,324,Potential
BD-115603,7,9,2756,4,2,3,423,Potential
BD-115604,278,4,321,1,1,1,111,At Risk
BD-116051,266,10,3719,2,2,3,223,Potential
BD-116052,789,8,1268,1,2,2,122,At Risk
BD-116053,991,4,926,1,1,2,112,At Risk
BD-116054,97,20,3288,3,4,3,343,Loyal Customers
BD-116201,137,19,3514,2,4,3,243,Loyal Customers
BD-116202,55,10,2490,3,2,3,323,Potential
BD-116203,49,3,306,3,1,1,311,Potential
BD-116204,69,8,1539,3,2,2,322,Potential
BD-116351,240,13,4867,2,3,4,234,Potential
BD-116352,12,22,4687,4,4,4,444,Champions
BD-116353,163,7,1093,2,2,2,222,Potential
BD-116354,9,5,583,4,1,1,411,Potential
BD-117251,176,16,3901,2,4,4,244,Loyal Customers
BD-117252,189,9,1418,2,2,2,222,Potential
BD-117253,4,17,4035,4,4,4,444,Champions
BD-117254,93,10,1527,3,2,2,322,Potential
BD-117701,75,12,3106,3,3,3,333,Potential
BD-117702,197,9,3543,2,2,3,223,Potential
BD-117703,35,17,2859,4,4,3,443,Loyal Customers
BD-117704,327,10,658,1,2,1,121,At Risk
BD-13201,289,1,57,1,1,1,111,At Risk
BD-13202,5,16,1829,4,4,2,442,Loyal Customers
BD-15001,398,3,52,1,1,1,111,At Risk
BD-15601,187,2,137,2,1,1,211,Potential
BD-15602,90,4,1427,3,1,2,312,Potential
BD-16051,275,3,208,1,1,1,111,At Risk
BD-16052,352,3,481,1,1,1,111,At Risk
BD-16201,216,6,429,2,1,1,211,Potential
BD-16202,117,21,2494,2,4,3,243,Loyal Customers
BD-16351,464,9,592,1,2,1,121,At Risk
BD-16352,324,12,5095,1,3,4,134,At Risk
BD-17251,100,5,2849,3,1,3,313,Potential
BD-17252,148,19,2229,2,4,3,243,Loyal Customers
BD-17701,453,9,1630,1,2,2,122,At Risk
BD-17702,238,7,1775,2,2,2,222,Potential
BE-113351,35,34,10731,4,4,4,444,Champions
BE-113352,90,21,5882,3,4,4,344,Loyal Customers
BE-113353,79,30,6342,3,4,4,344,Loyal Customers
BE-113354,119,9,4205,2,2,4,224,Potential
BE-114101,120,17,5536,2,4,4,244,Loyal Customers
BE-114102,84,16,7623,3,4,4,344,Loyal Customers
BE-114103,190,12,1131,2,3,2,232,Potential
BE-114104,98,5,2262,3,1,3,313,Potential
BE-114551,27,24,11483,4,4,4,444,Champions
BE-114552,3,13,2971,4,3,3,433,Potential
BE-114553,184,14,1464,2,3,2,232,Potential
BE-114554,254,13,1728,2,3,2,232,Potential
BE-13351,867,5,705,1,1,1,111,At Risk
BE-13352,572,3,615,1,1,1,111,At Risk
BE-14101,21,6,1718,4,1,2,412,Potential
BE-14102,64,4,141,3,1,1,311,Potential
BE-14551,146,3,937,2,1,2,212,Potential
BE-14552,546,2,403,1,1,1,111,At Risk
BF-10051,1346,3,699,1,1,1,111,At Risk
BF-10052,734,2,33,1,1,1,111,At Risk
BF-10201,159,7,2217,2,2,3,223,Potential
BF-10202,96,9,789,3,2,2,322,Potential
BF-10801,673,8,1568,1,2,2,122,At Risk
BF-10802,915,5,2183,1,1,3,113,At Risk
BF-10803,209,2,58,2,1,1,211,Potential
BF-109751,35,21,3856,4,4,4,444,Champions
BF-109752,119,3,2455,2,1,3,213,Potential
BF-109753,530,5,1196,1,1,2,112,At Risk
BF-109754,91,13,600,3,3,1,331,Potential
BF-110051,8,23,14563,4,4,4,444,Champions
BF-110052,54,12,3911,3,3,4,334,Potential
BF-110053,91,19,3540,3,4,3,343,Loyal Customers
BF-110054,39,10,1336,4,2,2,422,Potential
BF-110201,112,3,1704,2,1,2,212,Potential
BF-110202,15,15,3939,4,4,4,444,Champions
BF-110203,188,7,1668,2,2,2,222,Potential
BF-110204,74,21,2889,3,4,3,343,Loyal Customers
BF-110801,55,20,5973,3,4,4,344,Loyal Customers
BF-110802,334,8,2303,1,2,3,123,At Risk
BF-110803,158,6,1583,2,1,2,212,Potential
BF-110804,25,6,274,4,1,1,411,Potential
BF-111701,57,14,7092,3,3,4,334,Potential
BF-111702,58,22,6134,3,4,4,344,Loyal Customers
BF-111703,19,15,3179,4,4,3,443,Loyal Customers
BF-111704,16,27,5909,4,4,4,444,Champions
BF-112151,133,23,4587,2,4,4,244,Loyal Customers
BF-112152,26,9,2734,4,2,3,423,Potential
BF-112153,482,14,4064,1,3,4,134,At Risk
BF-112154,65,8,1586,3,2,2,322,Potential
BF-112751,736,2,407,1,1,1,111,At Risk
BF-112752,6,16,4357,4,4,4,444,Champions
BF-112753,6,24,4024,4,4,4,444,Champions
BF-112754,57,4,791,3,1,2,312,Potential
BF-11701,550,3,268,1,1,1,111,At Risk
BF-11702,193,5,637,2,1,1,211,Potential
BF-12151,117,8,399,2,2,1,221,Potential
BF-12751,1118,1,24,1,1,1,111,At Risk
BF-12752,128,11,985,2,3,2,232,Potential
BF-9751,286,10,1009,1,2,2,122,At Risk
BF-9752,22,10,722,4,2,1,421,Potential
BG-10351,600,1,124,1,1,1,111,At Risk
BG-110351,116,23,6713,2,4,4,244,Loyal Customers
BG-110352,29,9,7445,4,2,4,424,Potential
BG-110353,135,22,2942,2,4,3,243,Loyal Customers
BG-110354,28,12,2799,4,3,3,433,Potential
BG-116951,68,17,3436,3,4,3,343,Loyal Customers
BG-116952,383,2,662,1,1,1,111,At Risk
BG-116953,9,12,4753,4,3,4,434,Potential
BG-116954,36,8,1873,4,2,2,422,Potential
BG-117401,84,7,4900,3,2,4,324,Potential
BG-117402,6,14,3270,4,3,3,433,Potential
BG-117403,118,15,5513,2,4,4,244,Loyal Customers
BG-117404,57,7,1006,3,2,2,322,Potential
BG-16951,44,8,413,3,2,1,321,Potential
BG-16952,480,2,76,1,1,1,111,At Risk
BG-17401,16,4,145,4,1,1,411,Potential
BG-17402,43,9,547,3,2,1,321,Potential
BH-117101,28,7,2412,4,2,3,423,Potential
BH-117102,51,10,7089,3,2,4,324,Potential
BH-117103,51,29,7779,3,4,4,344,Loyal Customers
